"content_id","content_state","category_id","category_path","tag_id","tag_path","content_created_by_user_id","content_created_by_user_username","content_modified_by_user_id","content_created_by_alias","content_created_date","content_modified_date","content_hits","content_alias"
3,1,8,blog,"2",millions,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,welcome-to-your-blog
3,1,8,blog,"3",love,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,welcome-to-your-blog
3,1,8,blog,"4",joomla-4,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,welcome-to-your-blog
3,1,8,blog,"5",joomla-4/new-feature-workflow,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,welcome-to-your-blog
4,1,8,blog,"2",millions,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,about-your-home-page
4,1,8,blog,"3",love,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,about-your-home-page
4,1,8,blog,"4",joomla-4,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,about-your-home-page
4,1,8,blog,"5",joomla-4/new-feature-workflow,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,about-your-home-page
5,1,8,blog,"2",millions,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,your-modules
5,1,8,blog,"3",love,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,your-modules
5,1,8,blog,"4",joomla-4,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,your-modules
5,1,8,blog,"5",joomla-4/new-feature-workflow,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,your-modules
6,1,8,blog,"2",millions,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,your-template
6,1,8,blog,"3",love,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,your-template
6,1,8,blog,"4",joomla-4,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,your-template
6,1,8,blog,"5",joomla-4/new-feature-workflow,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,your-template
1,1,9,help,,,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,about
2,1,9,help,,,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,working-on-your-site
7,1,10,joomla,,,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,millions
8,1,10,joomla,,,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,1,love
9,1,10,joomla,,,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,joomla
10,1,9,help,,,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,new-feature-workflows
11,1,11,typography,,,718,joomleiro,718,Joomla,2021-01-20 23:38:37,2021-01-20 23:38:37,0,typography
